size, insert, quick, heap, radix
1,400,100,200,900               
2,300,300,400,1500              
3,400,300,400,1900              
4,600,400,600,1700    
5,700,500,800,2300    
6,600,600,800,2100    
7,700,700,1200,2500   
8,800,1000,1300,2200  
9,800,800,1400,2600   
10,800,1200,1400,2500 
11,1100,1600,2100,6300
12,1400,1000,1800,3000
13,1300,1500,2000,3300
14,1100,1400,2300,3100
15,1600,1500,2700,3500
16,1400,1800,2900,4100
17,1600,1800,3000,4100
18,1600,1900,3100,3500
19,1600,2100,3500,3700
20,1800,2400,3300,3700
21,1800,2400,3700,3900
22,2400,2200,3500,4600
23,2100,2500,4300,4800
24,2000,2800,4400,5000
25,2600,3000,4400,4700
26,3100,2600,4700,4800
27,3300,3000,5500,5700
28,3600,3200,5200,5100
29,3500,3300,5400,5700
30,3400,3500,5900,5200
31,3200,4200,6000,5400
32,4000,3500,6100,5500
33,5100,6600,9800,9200
34,6100,5300,8700,9100
35,6100,5100,10800,12100
36,5200,4900,10000,9600
37,6200,6000,10100,9600
38,5600,4200,8300,6700
39,5500,5700,8400,7700
40,5600,4700,8700,6800
41,6200,4700,8500,8000
42,6100,5100,8800,8500
43,5800,5000,8900,7300
44,6800,5500,8900,8400
45,6000,5500,9500,7400
46,7600,5200,9900,7600
47,6800,6100,9900,7800
48,11300,8500,15200,12600
49,7500,6800,11400,8400
50,11500,8800,15100,13400
51,12300,8200,15700,14600
52,9500,6000,11100,10000
53,21100,7200,11300,10200
54,8200,6800,11500,8900
55,9700,7300,12300,8900
56,9700,7000,12500,9100
57,9700,7400,13200,9500
58,11300,7400,12800,10500
59,10000,6500,12900,10900
60,9700,8300,13500,10800
61,16500,10200,19900,15400
62,11300,7200,13400,10900
63,10900,7900,13800,11600
64,18400,11200,19600,16200
65,25300,13500,25200,23400
66,19800,12700,23200,17200
67,20200,11400,22100,913800
68,110500,12300,24300,18200
69,20400,13000,23900,18400
70,21000,12900,26100,18300
71,20900,13800,25200,18600
72,21200,12500,25600,19300
73,22500,12900,25500,19300
74,22700,14500,26200,18800
75,26200,13600,26900,20000
76,23200,13800,25900,20900
77,23200,13800,29100,31300
78,24800,14100,25800,22300
79,26700,13500,28200,21800
80,29700,14200,28200,20700
81,20100,10900,20000,21900
82,24300,13800,29800,23500
83,19900,10900,20500,15800
84,27500,16300,29300,21200
85,27300,16000,31500,21900
86,30100,16400,31400,28800
87,29400,15400,29000,22700
88,32500,16900,33900,22900
89,49200,17700,32300,22000
90,33700,17600,32200,22500
91,42100,16900,37900,22000
92,35700,19300,36000,22800
93,35800,16500,33800,24000
94,34000,19200,32200,33100
95,40300,19400,36300,23800
96,38000,18300,37000,24000
97,34800,17400,31700,23700
98,39100,19100,35400,25200
99,39900,18900,34600,25100
