size, insert, quick, heap, radix
100,50800,24900,47900,26400
200,148600,45400,88200,51300
300,336300,79000,158500,73000
400,536900,93100,179200,99900
500,1329900,114700,238300,119000
600,1440800,172600,307800,255600
700,2136700,212200,389600,175100
800,2501600,222800,433100,189800
900,3257400,264200,500700,251800
1000,3446100,297100,9100700,1081100
1100,2896600,217000,412100,172800
1200,7661700,350000,743200,300400
1300,9891900,525700,835200,460300
1400,10902500,437200,945800,1015200
2800,38129400,1048400,1960100,650300
2900,33239400,990500,1944900,858100
3000,38992300,1194000,2030800,940400
3100,58536100,1183000,2017700,885100
3200,47775200,1062600,2126900,1211400
3300,64325100,1953100,2344100,942300
3400,49922400,1282600,2239000,781100
3500,46817800,1121300,2538300,882200
3600,57415700,1444500,2390000,839100
3700,55782900,1313300,2486600,857400
3800,51927400,1320200,2587400,869400
3900,88405100,1861500,2799000,1213600
4000,76191600,1345900,7624900,1444000
4100,98393800,2860200,2854800,1615500
4200,142676900,2139200,3283000,1454500
4300,86190000,1513900,3274800,984200
4400,87011100,1749000,3432600,1215700
4500,87833000,1980600,3134100,1039400
4600,83979700,1785800,3698300,1519800
4700,102079100,1741900,3511800,1336100
4800,88064400,1703300,3714400,1456800
4900,88019900,1535400,3397400,1131500
5000,78334400,1723300,3385900,1232100
5100,100674100,1262700,2415000,1045000
5200,78545900,1330100,2433800,954400
5300,97504200,1369600,2477900,1017800
5400,97522100,1950600,4012400,1268400
5500,104501100,2228300,4094000,1327000
5600,134126200,2030700,4022600,6405300
5700,131233900,2049400,4246500,1343800
5800,128263700,2170800,4184900,1364000
5900,120098500,2221200,9996800,1389700
6000,136827400,2476200,4538500,2475800
6100,127412000,1594000,2879100,1492900
6200,108680000,2156500,4120700,1399100
6300,153627700,1639400,2966700,965100
6400,102467500,1963100,3040800,1185800
6500,105067500,1772000,3192500,969900
6600,99272000,1590200,3209300,914100
6700,105136400,1775100,2946800,961000
6800,106562900,1653900,2992200,1216500
6900,114711900,1921400,3043500,1306200
7000,112040000,1605700,3206400,1331800
7100,121400400,1678800,3348400,1411700
7200,122502300,1694800,3199100,1099300
7300,147365700,2953700,5458500,2154500
7400,152605700,1959400,3567800,1093900
7500,138716600,1815400,3410100,1305000
7600,130811400,1831400,3395400,1446800
7700,136593800,2051900,3465000,1324300
7800,135092300,1911100,3640400,1068100
7900,142162400,1886800,4197400,1645300
8000,151185800,1951400,3607700,1515200
8100,148256000,2017900,3646300,1550200
8200,156395800,1968700,3741300,1579000
8300,153771500,2065200,3869300,1622600
8400,164328500,2086100,3831000,1273500
8500,165179600,2072600,3931800,1610300
8600,176908200,2064600,3964400,1497700
8700,170844000,2074900,3956000,1415700
8800,180871300,2208500,4148600,1493300
8900,178659300,2213900,4063500,1510000
9000,182658800,2255100,4125900,1537900
9100,195404200,2228600,4206400,1735900
9200,191161400,2383100,4192800,1753400
9300,205720500,2288600,4395900,1295400
9400,202466000,3546000,5865300,1778600
9500,204672900,2551000,4353200,1305600
9600,219021200,2393000,4456300,1858000
9700,262314100,2655100,6259900,2416300
9800,264395200,2702700,5049100,1469300
9900,273950000,2406000,4744500,2074600
