size, insert, quick, heap, radix
100,44400,19100,41300,26900
200,145800,46200,84300,49200
300,327900,80200,136100,74400
400,711200,117200,206900,94100
500,938000,137100,248400,125100
600,1382000,156600,314000,156400
700,2822300,196100,556600,169800
800,2277000,213300,415700,182600
900,2814800,280600,1302400,226200
1000,3954600,305400,591900,246700
1100,3895800,324800,598100,249700
1200,4915000,341500,690200,278400
1300,8844300,405300,1006500,368200
1400,12521700,469900,875700,316700
1500,13774600,406000,880800,385000
1600,10263000,520300,950500,369800
1700,10963200,553600,1066600,405300
1800,11138900,614500,1102500,445300
1900,11291100,584500,1161300,459800
2000,13386000,742300,1320900,505000
2100,16918500,720100,1265900,585500
2200,17947300,700000,1407600,532200
2300,19548400,871100,1811200,704800
2400,22624800,861600,1544200,774500
2500,23312500,819000,1630300,617400
2600,24669700,790200,1602400,606200
2700,27084700,992600,1791300,698900
2800,29635900,917800,1776300,677900
2900,33310900,1023900,2123500,728600
3000,33144700,976900,1924300,741100
3100,30416700,765100,1355900,481700
3200,28679300,729500,1401800,481200
3300,31533400,1166600,2228800,818900
3400,41438900,1247900,2622000,898900
3500,41049800,1326000,2420000,825900
3600,40305700,1258900,1930000,551000
3700,47470900,1415100,2629300,967900
3800,52332600,1090200,2053900,941900
3900,48000400,1071800,1758000,750400
4000,47980800,1005600,1812500,786500
4100,60124800,1419600,2756500,1235800
4200,62039700,1487000,2949900,1279200
4300,62484400,1087700,2284700,1284300
4400,68107200,1129400,2670300,876900
4500,66756800,1984000,3054900,879900
4600,62563300,1218500,3141000,998500
4700,69255800,1239700,2191500,897100
4800,77729900,1674900,3417100,1516800
4900,81708200,1707300,3452400,1452700
